,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
97,2020-06-02,583204.21,0.0,121990.404,121990.404,366352.4730000001,949556.6830000001
98,2020-06-03,466849.54,0.0,9550.053,9550.053,375902.52600000007,842752.0660000001
99,2020-06-04,465847.93,0.0,72128.255,72128.255,448030.7810000001,913878.7110000001
100,2020-06-05,399467.92,0.0,20543.114,20543.114,468573.895,868041.815
101,2020-06-08,382120.05,0.0,4454.965,4454.965,473028.86,855148.9099999999
102,2020-06-09,384015.36,0.0,4054.472,4054.472,477083.332,861098.692
103,2020-06-10,388080.55,0.0,90270.874,90270.874,567354.206,955434.756
104,2020-06-11,295332.72,0.0,99899.193,99899.193,667253.399,962586.119
105,2020-06-12,205957.17,0.0,0.0,0.0,667253.399,873210.569
106,2020-06-15,201806.82,0.0,0.0,0.0,667253.399,869060.219
107,2020-06-16,200938.23,0.0,0.0,0.0,667253.399,868191.629
108,2020-06-17,203982.01,0.0,0.0,0.0,667253.399,871235.409
109,2020-06-18,331566.16,123853.656,0.0,-123853.656,543399.743,874965.9029999999
110,2020-06-19,341305.83,0.0,0.0,0.0,543399.743,884705.5730000001
111,2020-06-22,342651.51,0.0,0.0,0.0,543399.743,886051.253
112,2020-06-23,358470.9,0.0,0.0,0.0,543399.743,901870.643
113,2020-06-24,348838.36,0.0,7590.393,7590.393,550990.1359999999,899828.4959999999
114,2020-06-25,340533.38,0.0,0.0,0.0,550990.1359999999,891523.516
115,2020-06-26,399781.08,58653.428,0.0,-58653.428,492336.7079999999,892117.788
116,2020-06-29,392696.53,0.0,0.0,0.0,492336.7079999999,885033.2379999999
117,2020-06-30,387249.76,0.0,0.0,0.0,492336.7079999999,879586.4679999999
118,2020-07-01,538174.95,150029.599,0.0,-150029.599,342307.10899999994,880482.0589999999
119,2020-07-02,528083.55,0.0,0.0,0.0,342307.10899999994,870390.659
120,2020-07-03,638852.53,121728.588,0.0,-121728.588,220578.52099999995,859431.051
121,2020-07-06,651977.82,0.0,122680.142,122680.142,343258.66299999994,995236.4829999999
122,2020-07-07,529506.22,0.0,111063.289,111063.289,454321.95199999993,983828.1719999999
123,2020-07-08,411071.35,0.0,4196.716,4196.716,458518.66799999995,869590.0179999999
124,2020-07-09,411368.43,0.0,0.0,0.0,458518.66799999995,869887.098
125,2020-07-10,407729.74,0.0,0.0,0.0,458518.66799999995,866248.4079999999
126,2020-07-13,414005.08,0.0,0.0,0.0,458518.66799999995,872523.7479999999
127,2020-07-14,518468.27,109998.589,0.0,-109998.589,348520.0789999999,866988.3489999999
128,2020-07-15,624162.59,106636.147,0.0,-106636.147,241883.9319999999,866046.5219999999
129,2020-07-16,614171.77,0.0,0.0,0.0,241883.9319999999,856055.7019999999
130,2020-07-17,620468.72,0.0,0.0,0.0,241883.9319999999,862352.6519999999
131,2020-07-20,627983.51,0.0,0.0,0.0,241883.9319999999,869867.4419999999
132,2020-07-21,637534.2,0.0,0.0,0.0,241883.9319999999,879418.1319999999
133,2020-07-22,627660.7,0.0,0.0,0.0,241883.9319999999,869544.6319999999
134,2020-07-23,645880.08,0.0,0.0,0.0,241883.9319999999,887764.0119999999
135,2020-07-24,647119.21,0.0,0.0,0.0,241883.9319999999,889003.1419999999
136,2020-07-27,647002.17,0.0,0.0,0.0,241883.9319999999,888886.102
137,2020-07-28,715380.49,61810.267,163237.291,101427.024,343310.9559999999,1058691.446
138,2020-07-29,556137.24,0.0,2885.265,2885.265,346196.2209999999,902333.4609999999
139,2020-07-30,556387.89,0.0,0.0,0.0,346196.2209999999,902584.1109999999
140,2020-07-31,618146.85,62137.779,141389.932,79252.15299999999,425448.37399999984,1043595.2239999998
141,2020-08-03,477329.96,0.0,0.0,0.0,425448.37399999984,902778.3339999998
142,2020-08-04,486382.25,0.0,0.0,0.0,425448.37399999984,911830.6239999998
143,2020-08-05,490360.59,0.0,0.0,0.0,425448.37399999984,915808.9639999999
144,2020-08-06,500180.71,0.0,0.0,0.0,425448.37399999984,925629.0839999998
145,2020-08-07,504690.36,0.0,93735.593,93735.593,519183.96699999983,1023874.3269999998
146,2020-08-10,413481.02,0.0,0.0,0.0,519183.96699999983,932664.9869999998
147,2020-08-11,416651.11,0.0,0.0,0.0,519183.96699999983,935835.0769999998
148,2020-08-12,414753.59,0.0,37643.119,37643.119,556827.0859999999,971580.676
149,2020-08-13,377878.81,0.0,0.0,0.0,556827.0859999999,934705.896
150,2020-08-14,451818.6,74213.085,37487.887,-36725.198000000004,520101.8879999998,971920.4879999998
151,2020-08-17,420511.8,0.0,0.0,0.0,520101.8879999998,940613.6879999998
152,2020-08-18,631684.12,202728.728,0.0,-202728.728,317373.1599999998,949057.2799999998
153,2020-08-19,637746.4,0.0,0.0,0.0,317373.1599999998,955119.5599999998
154,2020-08-20,639167.55,0.0,43250.085,43250.085,360623.24499999976,999790.7949999998
155,2020-08-21,600595.95,0.0,77595.207,77595.207,438218.4519999998,1038814.4019999998
156,2020-08-24,529797.06,0.0,0.0,0.0,438218.4519999998,968015.5119999999
157,2020-08-25,528117.19,0.0,0.0,0.0,438218.4519999998,966335.6419999998
158,2020-08-26,527556.91,0.0,0.0,0.0,438218.4519999998,965775.3619999998
159,2020-08-27,599641.0,69799.856,0.0,-69799.856,368418.5959999998,968059.5959999998
160,2020-08-28,601884.42,0.0,0.0,0.0,368418.5959999998,970303.0159999998
