,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
779,2023-02-24,734687.56,0.0,0.0,0.0,617461.0129999997,1352148.5729999999
780,2023-02-27,728042.85,0.0,0.0,0.0,617461.0129999997,1345503.8629999997
781,2023-02-28,733996.08,0.0,0.0,0.0,617461.0129999997,1351457.0929999996
782,2023-03-01,752060.67,0.0,0.0,0.0,617461.0129999997,1369521.6829999997
783,2023-03-02,748861.02,0.0,0.0,0.0,617461.0129999997,1366322.0329999998
784,2023-03-03,756963.38,0.0,0.0,0.0,617461.0129999997,1374424.3929999997
785,2023-03-06,767154.27,0.0,32208.144,32208.144,649669.1569999997,1416823.4269999997
786,2023-03-08,741099.87,0.0,27537.654,27537.654,677206.8109999996,1418306.6809999996
787,2023-03-09,708050.94,0.0,0.0,0.0,677206.8109999996,1385257.7509999997
788,2023-03-10,708533.92,0.0,30245.43,30245.43,707452.2409999997,1415986.1609999998
789,2023-03-13,657591.71,0.0,40159.712,40159.712,747611.9529999996,1405203.6629999997
790,2023-03-14,614908.37,0.0,116857.81,116857.81,864469.7629999996,1479378.1329999994
791,2023-03-15,501665.73,0.0,65772.187,65772.187,930241.9499999996,1431907.6799999997
792,2023-03-16,435444.69,0.0,36670.03,36670.03,966911.9799999996,1402356.6699999997
793,2023-03-17,401805.44,0.0,0.0,0.0,966911.9799999996,1368717.4199999997
794,2023-03-20,395357.93,0.0,0.0,0.0,966911.9799999996,1362269.9099999997
795,2023-03-21,402949.93,0.0,24749.083,24749.083,991661.0629999996,1394610.9929999996
796,2023-03-22,381144.86,0.0,0.0,0.0,991661.0629999996,1372805.9229999995
797,2023-03-23,380401.38,0.0,0.0,0.0,991661.0629999996,1372062.4429999995
798,2023-03-24,374283.41,0.0,0.0,0.0,991661.0629999996,1365944.4729999995
799,2023-03-27,373375.59,0.0,0.0,0.0,991661.0629999996,1365036.6529999997
800,2023-03-28,369757.72,0.0,0.0,0.0,991661.0629999996,1361418.7829999996
801,2023-03-29,442811.48,62840.73,0.0,-62840.73,928820.3329999996,1371631.8129999996
