symbol,total_pl,total_investment,return_pct,total_days_held,annual_return,annual_volatility,sharpe_ratio,total_wins,total_losses,cumulative_return,cagr,max_drawdown,win_rate,average_win,average_loss,profit_factor,payoff_ratio,expectancy,total_trades,first_trade,last_trade,VaR
['BALUFORGE'],373.1773500000001,2802.532885425,0.1331571707653337,-220.0,1719.8424162799622,142.30096645373496,12.085458441626933,3,1,1.0904784717056009,,0.0,0.75,188.9609766666667,-193.70558,2.926518327453448,0.9755061091511494,93.29433750000003,4,2024-06-05,2025-04-28,15.2264624326853
['ARVIND'],632.8956400000005,4159.88311908,0.15214264965693838,151.0,1896.2477564102578,158.86014221465507,11.936145404226718,3,0,1.166480551724683,0.4509670121670277,0.0,1.0,210.9652133333335,0.0,inf,inf,210.9652133333335,3,2023-07-28,2025-01-29,53.542292023828715
['INTELLECT'],401.8015200000003,5253.58192365,0.07648144177427103,53.0,4354.970985399301,369.7796603369366,11.777016024708317,3,1,1.120875903281665,1.1942820100778095,-0.00713986013986001,0.75,159.4588400000001,-76.57499999999993,6.247163173359461,2.0823877244531537,100.45038000000008,4,2023-07-11,2025-01-30,53.68780333831032
['VBL'],953.9039800000013,9138.96843126,0.10437764252879528,238.0,2853.753289041844,242.5348202611079,11.766076664660472,4,2,1.162800488469951,0.26025858319758566,-0.014099196472902586,0.6666666666666666,289.5155600000003,-102.0791299999999,5.672375146614211,2.8361875733071056,158.98399666666688,6,2023-06-26,2024-10-08,98.511792124076
['SAREGAMA'],255.56084000000033,2254.0488698399995,0.11337857107691766,-282.0,1112.5167479035647,95.41060334949135,11.659571461136718,1,1,1.0261284222687388,,0.0,0.5,313.8105200000002,-58.2496799999999,5.387334660035914,5.387334660035914,127.78042000000016,2,2024-03-14,2025-03-03,16.75074421249821
['SHYAMCENT'],354.7028800000005,3574.775838899999,0.09922381038279222,80.0,1161.9785436507952,102.4823001622881,11.337650909579796,2,1,1.707612304349834,10.488837041655854,-0.17356047130020147,0.6666666666666666,215.2084500000002,-75.7140199999999,5.684771459764003,2.8423857298820017,118.2342933333335,3,2023-08-14,2024-10-28,1188.7756502757406
['DHANBANK'],1036.0783600000016,8893.111737629999,0.11650346814107554,137.0,4807.3467117367345,428.06968423115666,11.230126516366004,5,2,14.408144108355465,1220.2440249291144,-0.22013975295284394,0.7142857142857143,267.15002200000015,-149.8358749999996,4.457377480526624,1.7829509922106497,148.0111942857145,7,2023-02-23,2025-03-18,2777.1754527189555
['TIMETECHNO'],1236.516320000002,8922.485262209999,0.13858429391159688,232.0,2314.553503318116,209.83896301180366,11.029808144772064,6,1,1.2115594969606787,0.3524595268720012,0.0,0.8571428571428571,221.8844866666669,-94.79059999999976,14.044714560304554,2.340785760050759,176.6451885714288,7,2023-03-14,2024-11-14,1222.1246065639489
['ANTGRAPHIC'],1039.2849600000015,6834.69752301,0.15206012504592897,153.0,2592.807419746109,241.79170597630568,10.723020499306058,4,1,-12929.412638806722,,-3.5491839945280397,0.8,298.73804250000035,-155.6672099999998,7.676325476637006,1.9190813691592514,207.85699200000033,5,2023-07-12,2025-01-15,23631.154714844986
['EXCEL'],68.57819,3144.7543075349995,0.0218071694299561,-461.0,1065.62950727185,101.32144395079919,10.516623783897872,2,1,65.60048678359651,,0.0,0.6666666666666666,252.73527999999993,-436.89236999999986,1.1569681567109997,0.5784840783554999,22.85939666666664,3,2023-02-09,2025-02-18,9187.476302729527
['REDTAPE'],548.3923999999998,5485.077370049999,0.09997897258375427,116.0,1957.8949237256365,187.91016542079475,10.418940983535409,3,1,1.2434427919994975,0.9849291192108287,-0.020355076116354565,0.75,218.87249666666665,-108.22509000000008,6.067146629307488,2.0223822097691624,137.0981,4,2023-11-15,2024-08-19,140.28677251370647
['SHAH'],438.08362000000056,4853.99204589,0.09025223277218537,-416.0,709.095304240211,68.6816785636505,10.323354336529857,3,1,5.4841409059595465,,-0.47725159862643474,0.75,171.20166666666682,-75.52137999999997,6.800789392354863,2.266929797451621,109.52090500000013,4,2023-09-01,2025-03-28,3907.3423188084425
