,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
4426,ARSHIYA,2024-08-07,4.39439,Buy,779,1.711614905,3424.9414249049996,295401.8035306906
4427,RAJMET,2024-08-07,12.612599999999999,Buy,247,1.5576561,3116.8698560999997,292284.9336745906
4428,LICHSGFIN,2024-08-08,631.61775,Sell,25,10.105884,15780.337866,308065.2715405906
4429,EIHOTEL,2024-08-08,375.2244,Sell,28,9.7558344,10496.527365599999,318561.7989061906
4430,MOTISONS,2024-08-08,16.983,Sell,89,8.3131785,1503.1738215,320064.9727276906
4431,ASMS,2024-08-08,18.27826,Buy,850,7.768260499999999,15544.2892605,304520.6834671906
4432,SANGHVIMOV,2024-08-08,432.95251999999994,Buy,34,7.360192839999999,14727.745872839998,289792.9375943506
4433,VINNY,2024-08-08,2.9829799999999995,Buy,3518,5.247061819999999,10499.370701819998,279293.5668925306
4434,LEMONTREE,2024-08-09,128.871,Sell,11,14.046939,1403.534061,280697.1009535306
4435,CSBBANK,2024-08-09,324.57509999999996,Sell,23,13.469866649999998,7451.75743335,288148.8583868806
4436,ANDHRAPAP,2024-08-09,109.79968999999998,Buy,224,12.297565279999999,24607.42812528,263541.4302616006
4437,FUSION,2024-08-09,320.31999999999994,Buy,55,8.808799999999998,17626.408799999994,245915.02146160058
4438,KSHITIJPOL,2024-08-09,6.486479999999999,Buy,2138,6.93404712,13875.028287119998,232039.9931744806
4439,APOLLOTYRE,2024-08-12,492.34184999999997,Buy,24,5.908102199999999,11822.112502199998,220217.8806722806
4440,BLS,2024-08-12,392.16744,Sell,5,5.68642788,1955.1507721199998,222173.03144440058
4441,SAMHI,2024-08-12,196.803,Sell,3,5.4120824999999995,584.9969175,222758.02836190056
4442,RVNL,2024-08-12,522.4919699999999,Buy,20,5.224919699999999,10455.064319699999,212302.96404220056
4443,ASHIMASYN,2024-08-12,37.81778,Buy,236,4.46249804,8929.45857804,203373.50546416055
4444,BHANDARI,2024-08-12,6.42357,Sell,2045,4.223497275,13131.977152725,216505.48261688557
4445,PENINLAND,2024-08-12,55.174769999999995,Sell,22,4.165695135,1209.6792448649999,217715.16186175056
4446,BAIDFIN,2024-08-12,14.185799999999999,Sell,21,3.9649311,293.9368689,218009.09873065056
4447,COFFEEDAY,2024-08-12,38.748709999999996,Buy,197,3.8167479349999995,7637.312617934999,210371.78611271555
4448,SADHNANIQ,2024-08-12,72.66259,Buy,87,3.160822665,6324.806152664999,204046.97996005055
4449,DABUR,2024-08-13,618.0274099999999,Buy,13,4.017178165,8038.373508164998,196008.60645188554
4450,GODREJCP,2024-08-13,1382.1107299999999,Buy,5,3.455276825,6914.008926824999,189094.59752506056
4451,ROTO,2024-08-13,301.8015,Buy,24,3.6216179999999993,7246.857617999999,181847.73990706055
4452,OLECTRA,2024-08-13,1613.0053799999998,Sell,4,3.22601076,6448.79550924,188296.53541630055
4453,SHAREINDIA,2024-08-13,282.57229,Buy,23,3.2495813350000002,6502.412251335,181794.12316496557
4454,ELIN,2024-08-13,223.776,Sell,8,3.132864,1787.0751360000002,183581.19830096557
4455,BIRLACABLE,2024-08-13,258.258,Buy,22,2.8408379999999998,5684.516838,177896.68146296556
4456,ESAFSFB,2024-08-13,51.888059999999996,Sell,162,2.82789927,8403.03782073,186299.71928369557
4457,HLVLTD,2024-08-13,20.3203,Buy,270,2.7432404999999997,5489.2242405,180810.49504319555
4458,AKSHAR,2024-08-13,2.03203,Buy,2139,2.1732560850000002,4348.685426085,176461.80961711056
4459,SUNFLAG,2024-08-14,221.67144999999996,Buy,22,2.4383859499999994,4879.210285949999,171582.59933116057
4460,DBL,2024-08-14,533.50596,Sell,4,2.40077682,2131.62306318,173714.22239434058
4461,LICI,2024-08-14,1043.5424999999998,Buy,4,2.0870849999999996,4176.257084999999,169537.9653093406
4462,DEVYANI,2024-08-14,170.10993999999997,Buy,27,2.2964841899999997,4595.26486419,164942.7004451506
4463,GUJGASLTD,2024-08-14,596.4958999999999,Buy,7,2.0877356499999995,4177.559035649999,160765.14140950062
4464,JINDWORLD,2024-08-14,67.75769,Buy,67,2.269882615,4542.035112615,156223.1062968856
4465,AARTIIND,2024-08-14,624.57395,Buy,6,1.87372185,3749.31742185,152473.78887503562
